"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,hocboivid,35-44,female,active,22,actions:onsite_conversion.messaging_conversation_started_7d,74392.04545455,201002,Daily,1636625,13342,5346,Ongoing,"7-day click or 1-day view",25,22,,,74392.045455,22,74392.045455,530
2026-03-01,2026-04-01,hocboivid,35-44,male,active,8,actions:onsite_conversion.messaging_conversation_started_7d,47121.625,201002,Daily,376973,3892,1763,Ongoing,"7-day click or 1-day view",9,8,,,47121.625,8,47121.625,158
2026-03-01,2026-04-01,hocboivid,35-44,unknown,active,1,actions:onsite_conversion.messaging_conversation_started_7d,14508,201002,Daily,14508,105,45,Ongoing,"7-day click or 1-day view",1,1,,,14508,1,14508,9
2026-03-01,2026-04-01,hocboivid,45-54,female,active,6,actions:onsite_conversion.messaging_conversation_started_7d,42648.83333333,201002,Daily,255893,1526,746,Ongoing,"7-day click or 1-day view",6,6,,,42648.833333,6,42648.833333,79
2026-03-01,2026-04-01,hocboivid,45-54,male,active,4,actions:onsite_conversion.messaging_conversation_started_7d,24945.75,201002,Daily,99783,638,260,Ongoing,"7-day click or 1-day view",4,4,,,24945.75,4,24945.75,43
2026-03-01,2026-04-01,hocboivid,45-54,unknown,active,,,,201002,Daily,2863,23,7,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,hocboivid,55-64,female,active,2,actions:onsite_conversion.messaging_conversation_started_7d,105380,201002,Daily,210760,1226,576,Ongoing,"7-day click or 1-day view",2,2,,,105380,2,105380,94
2026-03-01,2026-04-01,hocboivid,55-64,male,active,,,,201002,Daily,13826,193,70,Ongoing,"7-day click or 1-day view",,,,,,,,17
2026-03-01,2026-04-01,hocboivid,55-64,unknown,active,,,,201002,Daily,92,2,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboivid,65+,female,active,3,actions:onsite_conversion.messaging_conversation_started_7d,44795.66666667,201002,Daily,134387,746,346,Ongoing,"7-day click or 1-day view",3,3,,,44795.666667,3,44795.666667,40
2026-03-01,2026-04-01,hocboivid,65+,male,active,,,,201002,Daily,23789,208,84,Ongoing,"7-day click or 1-day view",,,,,,,,9
2026-03-01,2026-04-01,hocboivid,65+,unknown,active,,,,201002,Daily,1840,13,5,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttanhboi,25-34,female,active,2538,actions:post_engagement,23.45665879,48000,Daily,59533,4864,3962,Ongoing,"7-day click or 1-day view",,,,,,,,43
2026-03-01,2026-04-01,ttanhboi,25-34,male,active,4179,actions:post_engagement,22.07944484,48000,Daily,92270,7984,6790,Ongoing,"7-day click or 1-day view",,,,,,,,86
2026-03-01,2026-04-01,ttanhboi,25-34,unknown,active,69,actions:post_engagement,24.31884058,48000,Daily,1678,148,132,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-03-01,2026-04-01,ttanhboi,35-44,female,active,3127,actions:post_engagement,21.99168532,48000,Daily,68768,5695,4912,Ongoing,"7-day click or 1-day view",,,,,,,,52
